player_id,"last_name, first_name",exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg,superstar_similarity,breakout_score,breakout_index
660688,"Ruiz, Keibert",86.2,18.0,4.24,28.119999999999997,0.2962,0.2602,0.38,-7.117674107251391,19.642342857142857,11.614337767824582
660821,"Sánchez, Jesús",92.5,7.7,12.2,51.3,0.343,0.264,0.468,-3.964495571885954,23.53928571428571,15.288151328434209
665750,"Taveras, Leody",89.44,12.899999999999999,6.42,38.540000000000006,0.3046,0.252,0.3836,-5.807218271958046,21.17717142857143,13.081854518412587
665804,"Amaya, Miguel",88.4,11.1,4.7,33.9,0.3,0.251,0.371,-6.644469339509013,19.860285714285716,11.908859198147297
665833,"Cruz, Oneil",95.5,9.8,15.700000000000001,54.9,0.34,0.263,0.461,-3.9565765250044644,25.28057142857143,16.50942704249866
665923,"Ruiz, Esteury",82.7,9.9,2.5,20.0,0.271,0.23400000000000004,0.316,-9.898735515534177,16.560142857142857,8.622479345339745
666176,"Adell, Jo",89.8,15.899999999999999,11.7,44.7,0.312,0.224,0.418,-5.253107914229487,23.29342857142857,14.729467625731154
666181,"Benson, Will",89.4,18.2,11.5,40.1,0.268,0.18,0.333,-7.7557808685493175,22.854428571428574,13.671365739435206
666310,"Naylor, Bo",88.8,19.9,8.1,37.7,0.26,0.196,0.326,-7.804177900593599,22.183142857142855,13.186946629821916
666397,"Julien, Edouard",89.5,8.0,13.1,44.9,0.3449999999999999,0.233,0.427,-5.159612485352345,22.357857142857142,14.102616254394295
666624,"Morel, Christopher",90.36,13.48,12.48,44.239999999999995,0.3256,0.23260000000000003,0.4334,-4.764208867209278,23.0788,14.725897339837216
668472,"Pratto, Nick",87.5,13.4,8.1,41.9,0.278,0.20900000000000002,0.339,-7.365668566506097,21.675142857142855,12.962899430048168
668709,"Bleday, JJ",88.5,18.6,8.3,36.2,0.319,0.242,0.4,-5.5976801374482505,21.79442857142857,13.576795958765521
668715,"Steer, Spencer",88.28,16.560000000000002,6.52,38.78,0.32220000000000004,0.2418,0.3942,-5.720342967621248,21.585457142857145,13.393717109713627
