year,"last_name, first_name",match_name,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
2025,"Ruiz, Keibert","Gregorius, Didi",83.58648648648648,23.8918918918921,6.983783783783792,32.459459459459595,0.34235135135135053,0.2728648648648644,0.46132432432432324
2026,"Ruiz, Keibert","Gregorius, Didi",83.32567567567571,25.155405405405418,7.510810810810881,33.42702702702718,0.3489324324324308,0.27525675675675654,0.47428378378378255
2027,"Ruiz, Keibert","Gregorius, Didi",83.06486486486494,26.418918918918735,8.03783783783797,34.394594594594764,0.3555135135135128,0.2776486486486478,0.48724324324324186
2028,"Ruiz, Keibert","Gregorius, Didi",82.80405405405406,27.682432432432506,8.564864864865058,35.36216216216235,0.36209459459459303,0.28004054054053995,0.5002027027027012
2025,"Sánchez, Jesús","Bradley Jr., Jackie",88.74000000000001,1.8600000000001273,8.78,41.52000000000001,0.2870000000000008,0.20560000000000045,0.34380000000000166
2026,"Sánchez, Jesús","Bradley Jr., Jackie",88.55000000000001,0.6599999999998545,8.789999999999997,41.420000000000016,0.2812000000000001,0.20040000000000013,0.33160000000000167
2027,"Sánchez, Jesús","Bradley Jr., Jackie",88.36000000000001,-0.5399999999999636,8.799999999999999,41.31999999999999,0.2754000000000012,0.19519999999999982,0.3194000000000017
2028,"Sánchez, Jesús","Bradley Jr., Jackie",88.17000000000002,-1.7400000000002365,8.81,41.22,0.2696000000000005,0.1899999999999995,0.3072000000000017
2025,"Taveras, Leody","Cabrera, Asdrúbal",90.61428571428564,11.075238095238092,7.352380952380997,43.20190476190464,0.33719047619047604,0.24969523809523797,0.4510571428571417
2026,"Taveras, Leody","Cabrera, Asdrúbal",90.88571428571424,10.538095238095138,7.580952380952397,44.404761904761926,0.34047619047619015,0.25023809523809515,0.4561428571428561
2027,"Taveras, Leody","Cabrera, Asdrúbal",91.15714285714284,10.000952380952413,7.809523809523853,45.60761904761921,0.34376190476190516,0.2507809523809523,0.46122857142857043
2028,"Taveras, Leody","Cabrera, Asdrúbal",91.42857142857144,9.46380952380946,8.038095238095252,46.81047619047604,0.34704761904761927,0.2513238095238095,0.4663142857142848
2025,"Amaya, Miguel","Crawford, Brandon",87.51428571428568,14.421428571428805,10.542857142856974,40.071428571428555,0.32250000000000006,0.23842857142857143,0.4219285714285715
2026,"Amaya, Miguel","Crawford, Brandon",87.34999999999997,14.932142857142935,11.114285714285643,40.50714285714275,0.32282142857142865,0.23678571428571438,0.42210714285714296
2027,"Amaya, Miguel","Crawford, Brandon",87.18571428571425,15.442857142857292,11.685714285714084,40.942857142857065,0.32314285714285723,0.23514285714285688,0.4222857142857144
2028,"Amaya, Miguel","Crawford, Brandon",87.02142857142854,15.95357142857165,12.257142857142753,41.37857142857138,0.3234642857142857,0.23349999999999982,0.4224642857142858
2025,"Cruz, Oneil","Bradley Jr., Jackie",88.74000000000001,1.8600000000001273,8.78,41.52000000000001,0.2870000000000008,0.20560000000000045,0.34380000000000166
2026,"Cruz, Oneil","Bradley Jr., Jackie",88.55000000000001,0.6599999999998545,8.789999999999997,41.420000000000016,0.2812000000000001,0.20040000000000013,0.33160000000000167
2027,"Cruz, Oneil","Bradley Jr., Jackie",88.36000000000001,-0.5399999999999636,8.799999999999999,41.31999999999999,0.2754000000000012,0.19519999999999982,0.3194000000000017
2028,"Cruz, Oneil","Bradley Jr., Jackie",88.17000000000002,-1.7400000000002365,8.81,41.22,0.2696000000000005,0.1899999999999995,0.3072000000000017
2025,"Ruiz, Esteury","Escobar, Alcides",84.3,16.600000000000136,4.9500000000000455,32.95000000000027,0.26400000000000023,0.20199999999999996,0.3534999999999995
2026,"Ruiz, Esteury","Escobar, Alcides",84.3,17.360000000000127,5.389999999999986,34.789999999999964,0.26290000000000013,0.19570000000000043,0.3561999999999994
2027,"Ruiz, Esteury","Escobar, Alcides",84.3,18.12000000000012,5.830000000000041,36.63000000000011,0.26180000000000003,0.1894000000000009,0.35889999999999933
2028,"Ruiz, Esteury","Escobar, Alcides",84.3,18.88000000000011,6.269999999999982,38.470000000000255,0.26069999999999993,0.18310000000000137,0.36159999999999926
2025,"Adell, Jo","Adames, Willy",88.30952380952385,21.171428571428805,13.119047619047706,41.15238095238101,0.33747619047619004,0.2393333333333333,0.45466666666666633
2026,"Adell, Jo","Adames, Willy",88.18666666666672,23.120000000000346,13.89333333333343,41.50666666666666,0.3425333333333338,0.2393333333333333,0.46206666666666685
2027,"Adell, Jo","Adames, Willy",88.06380952380957,25.06857142857143,14.667619047619155,41.860952380952426,0.3475904761904758,0.2393333333333333,0.4694666666666656
2028,"Adell, Jo","Adames, Willy",87.94095238095241,27.01714285714297,15.44190476190488,42.21523809523808,0.35264761904761954,0.2393333333333333,0.4768666666666661
2025,"Benson, Will","Davis, Chris",83.79999999999995,9.150000000000091,-3.600000000000364,31.949999999999818,0.026499999999998636,0.0589999999999975,-0.09249999999997272
2026,"Benson, Will","Davis, Chris",82.8900000000001,8.210000000000036,-5.930000000000291,30.360000000000127,-0.015199999999992997,0.03710000000000235,-0.16759999999996467
2027,"Benson, Will","Davis, Chris",81.98000000000002,7.270000000000209,-8.260000000000218,28.769999999999982,-0.05689999999999884,0.015200000000000102,-0.24269999999998504
2028,"Benson, Will","Davis, Chris",81.06999999999994,6.330000000000155,-10.590000000000146,27.179999999999836,-0.09860000000000468,-0.006700000000002149,-0.317799999999977
2025,"Naylor, Bo","Bellinger, Cody",87.92499999999995,18.120205479452125,6.204109589040854,32.658904109589,0.30312328767123375,0.24795205479451976,0.3871746575342456
2026,"Naylor, Bo","Bellinger, Cody",87.5,18.269863013698682,5.397260273972506,30.827397260273756,0.29191780821917845,0.24469863013698578,0.3643835616438338
2027,"Naylor, Bo","Bellinger, Cody",87.07500000000005,18.41952054794524,4.590410958903931,28.99589041095851,0.28071232876712315,0.2414452054794518,0.34159246575342195
2028,"Naylor, Bo","Bellinger, Cody",86.64999999999998,18.569178082191797,3.7835616438353554,27.164383561643717,0.26950684931506785,0.23819178082191694,0.3188013698630101
2025,"Julien, Edouard","Báez, Javier",88.41428571428571,9.728571428571428,7.185714285714312,41.17142857142858,0.27914285714285825,0.22442857142857253,0.3538571428571444
2026,"Julien, Edouard","Báez, Javier",88.19642857142861,9.75714285714286,6.539285714285825,41.24642857142857,0.2732500000000009,0.22103571428571467,0.33585714285714374
2027,"Julien, Edouard","Báez, Javier",87.97857142857146,9.785714285714285,5.89285714285711,41.321428571428584,0.2673571428571435,0.2176428571428577,0.31785714285714306
