"last_name, first_name",match_name,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
"Ruiz, Keibert","Gregorius, Didi",2025,84.60000000000001,21.1,4.94,23.719999999999995,0.3162,0.2742,0.41200000000000003
"Ruiz, Keibert","Gregorius, Didi",2026,85.50000000000001,22.5,6.74,29.219999999999995,0.36019999999999996,0.2832,0.4570000000000001
"Ruiz, Keibert","Gregorius, Didi",2027,83.20000000000002,25.700000000000003,8.040000000000001,31.819999999999993,0.39719999999999994,0.2982,0.5000000000000001
"Ruiz, Keibert","Gregorius, Didi",2028,80.90000000000002,28.900000000000002,9.340000000000002,34.41999999999999,0.4341999999999999,0.31320000000000003,0.5430000000000001
"Sánchez, Jesús","Bradley Jr., Jackie",2025,96.4,10.5,15.0,61.4,0.37000000000000005,0.28300000000000003,0.52
"Sánchez, Jesús","Bradley Jr., Jackie",2026,98.30000000000001,10.100000000000001,17.1,66.19999999999999,0.37200000000000005,0.273,0.53
"Sánchez, Jesús","Bradley Jr., Jackie",2027,98.40000000000002,4.9,17.2,62.599999999999994,0.35700000000000004,0.25500000000000006,0.4910000000000001
"Sánchez, Jesús","Bradley Jr., Jackie",2028,98.50000000000003,-0.2999999999999998,17.299999999999997,58.99999999999999,0.342,0.23700000000000007,0.4520000000000001
"Taveras, Leody","Cabrera, Asdrúbal",2025,87.74,9.399999999999999,5.42,38.74000000000001,0.3186,0.262,0.3906
"Taveras, Leody","Cabrera, Asdrúbal",2026,88.93999999999998,8.399999999999999,6.92,45.04000000000001,0.3226,0.259,0.4006
"Taveras, Leody","Cabrera, Asdrúbal",2027,89.13999999999997,7.299999999999999,6.92,47.04000000000001,0.3226,0.243,0.3856
"Taveras, Leody","Cabrera, Asdrúbal",2028,89.73999999999997,5.499999999999998,7.72,52.04000000000001,0.3226,0.23199999999999998,0.3916
"Amaya, Miguel","Crawford, Brandon",2025,87.0,9.5,5.1,32.699999999999996,0.285,0.24,0.35700000000000004
"Amaya, Miguel","Crawford, Brandon",2026,85.6,7.9,3.2999999999999994,31.29999999999999,0.27299999999999996,0.239,0.32400000000000007
"Amaya, Miguel","Crawford, Brandon",2027,84.49999999999999,3.3000000000000007,3.2999999999999994,31.69999999999999,0.26199999999999996,0.22499999999999998,0.3110000000000001
"Amaya, Miguel","Crawford, Brandon",2028,84.29999999999998,2.8000000000000007,7.299999999999999,36.399999999999984,0.25399999999999995,0.20799999999999996,0.30100000000000016
"Cruz, Oneil","Bradley Jr., Jackie",2025,99.4,12.600000000000001,18.5,65.0,0.36700000000000005,0.28200000000000003,0.5130000000000001
"Cruz, Oneil","Bradley Jr., Jackie",2026,101.30000000000001,12.200000000000001,20.6,69.8,0.36900000000000005,0.272,0.5230000000000001
"Cruz, Oneil","Bradley Jr., Jackie",2027,101.40000000000002,7.000000000000001,20.700000000000003,66.19999999999999,0.35400000000000004,0.25400000000000006,0.4840000000000001
"Cruz, Oneil","Bradley Jr., Jackie",2028,101.50000000000003,1.8000000000000007,20.8,62.599999999999994,0.339,0.23600000000000007,0.4450000000000001
"Ruiz, Esteury","Escobar, Alcides",2025,82.7,14.5,3.3000000000000003,23.4,0.281,0.24300000000000005,0.349
"Ruiz, Esteury","Escobar, Alcides",2026,83.3,15.7,4.0,27.299999999999997,0.29300000000000004,0.23700000000000004,0.354
"Ruiz, Esteury","Escobar, Alcides",2027,83.89999999999999,16.9,4.700000000000001,31.199999999999996,0.30500000000000005,0.23100000000000004,0.359
"Ruiz, Esteury","Escobar, Alcides",2028,84.49999999999999,18.099999999999998,5.4,35.099999999999994,0.31700000000000006,0.22500000000000003,0.364
