"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Domínguez, Jasson","691176","63","14.4",27,"110.2","88.8","101.5","92.1","90.1","445","162","411","32",50.8,"4",6.3,3.6
"Fitzgerald, Tyler","666149","63","16.9",27,"105.6","83.9","96","86.8","82.2","381","150","375","16",25.4,"3",4.8,3.3
"Julien, Edouard","666397","63","5.6",39.7,"110.1","88.7","99.6","94.5","82.7","405","162","382","26",41.3,"7",11.1,6.7
"O'Hoppe, Logan","681351","63","22.6",38.1,"111.1","90.6","102.3","95.1","85.6","417","214","399","31",49.2,"13",20.6,12.5
"McLain, Matt","680574","63","17.7",31.7,"109.9","90","100.8","95.4","82","414","199","399","29",46,"8",12.7,6.8
"Narváez, Carlos","665966","63","15.5",23.8,"110.8","90","101.6","93.4","89.3","410","153","366","24",38.1,"8",12.7,8.9
"Sheets, Gavin","657757","63","19.4",49.2,"109.8","92.3","101.4","98.2","81.7","406","203","389","34",54,"5",7.9,5
"Allen, Nick","669397","62","11.3",33.9,"104.4","85.5","95.9","87.7","85.9","382","119",,"18",29.5,"0",0,0
"Fraley, Jake","641584","61","18.2",32.8,"108.5","85.3","98.6","88.7","84.6","429","177","390","21",34.4,"3",4.9,3.3
"Mangum, Jake","663968","61","-3.8",27.9,"106.4","88.2","98.5","94","85.7","369","110",,"25",41,"2",3.3,2.7
"Keith, Colt","690993","61","7.2",32.8,"109.6","85.3","98.5","94.2","77.1","406","160","399","21",34.4,"5",8.2,4.9
"Naylor, Bo","666310","60","23.1",31.7,"108.8","90.8","99.7","95.2","83.8","425","199","406","21",35,"7",11.7,7.9
"Bailey, Patrick","672275","60","19.9",38.3,"106.9","86.8","97.7","90.3","80.7","400","205",,"20",33.3,"3",5,3
"Renfroe, Hunter","592669","60","16.9",23.3,"109.9","88.6","99","92.9","88.9","391","150",,"21",35,"2",3.3,2.4
"Walls, Taylor","670764","60","12.4",23.3,"102.8","86.7","96.4","90.6","85.2","386","129","386","18",30,"2",3.3,2.2
"Kjerstad, Heston","677008","59","17",39,"106.8","90.6","101.4","95.4","86.4","409","186","405","29",49.2,"7",11.9,7.9
"Winn, Masyn","691026","59","17.8",35.6,"109","89","100.7","92.3","90.5","403","173","397","22",37.3,"6",10.2,6.4
"Bart, Joey","663698","59","10.7",39,"110.5","88.4","100.1","92.3","84.3","411","162","411","22",37.3,"6",10.2,5.6
"Call, Alex","669743","58","13.3",37.9,"107.9","87.6","96.4","90.9","85.3","380","165",,"16",27.6,"1",1.7,1.3
"Urías, Ramón","602104","58","10.4",24.1,"107.1","87.4","98.5","95","83.3","397","143","376","22",37.9,"5",8.6,6.1
"Urías, Luis","649966","58","14.6",32.8,"106.8","88.7","97.7","92.4","86.4","398","168","383","20",34.5,"5",8.6,6.3
"Roden, Alan","702176","57","3.7",21.1,"107.6","84.6","98","90.7","83.8","397","102","397","18",31.6,"1",1.8,1.2
"Taveras, Leody","665750","57","22.6",22.8,"109.8","86.7","97.3","89.3","88.8","389","152","389","15",26.3,"2",3.5,2.4
"Martini, Nick","605361","56","11.5",25,"105","85.3","97","87.4","84.1","370","126",,"16",28.6,"1",1.8,1.4
"Hicks, Liam","689414","55","11.6",38.2,"105.4","83.2","93.9","86.4","79.1","374","167","374","13",23.6,"0",0,0
"Kelly, Carson","608348","55","18.3",34.5,"106.6","91.9","101.6","95.9","88.3","418","193","389","30",54.5,"9",16.4,11.3
"Moore, Dylan","664238","54","17.6",35.2,"108.6","86.9","100","92.3","83.2","429","164","387","24",44.4,"8",14.8,10.3
"Smith, Cam","701358","54","5.5",33.3,"110.6","86.7","100.3","88.9","84.9","403","142","378","21",38.9,"4",7.4,4.3
"Waters, Drew","671221","53","8.5",45.3,"109.6","85.8","97.1","89.2","82","408","155","408","14",26.4,"2",3.8,2.5
"Candelario, Jeimer","600869","53","11.4",20.8,"107.5","87.3","96.2","93","82.4","415","155","400","15",28.3,"4",7.5,4.4
"Díaz, Elias","553869","52","15.1",28.8,"111.4","87.1","99.1","92","88","380","145","369","22",42.3,"2",3.8,2.7
"Morel, Christopher","666624","52","18.1",36.5,"113.4","90.5","102.7","92.8","91.2","403","183","392","22",42.3,"11",21.2,10.8
"Tellez, Rowdy","642133","52","14",36.5,"113.1","91.6","102.4","95.4","89.8","430","173","390","24",46.2,"8",15.4,10.3
"Smith, Pavin","656976","51","8.2",39.2,"109.3","90.6","99.7","93.8","88.4","429","154","409","22",43.1,"9",17.6,8.7
"Myers, Dane","667472","50","9.2",48,"106.8","91.8","100.6","95.1","88.8","405","151","395","22",44,"4",8,5.5
"Raley, Luke","670042","49","8.8",34.7,"114.3","91.6","104.2","93.1","90.6","398","153","378","24",49,"7",14.3,8.3
"Tawa, Tim","694374","49","8.5",36.7,"109.7","90.7","101.1","91.9","89.8","438","167","398","21",42.9,"6",12.2,8
"Winker, Jesse","608385","49","20.4",30.6,"109.3","89.3","100.9","98","89.3","405","155","405","22",44.9,"4",8.2,5.1
"Mervis, Matt","670223","48","20.9",29.2,"107.8","90.4","101.6","93.5","90.2","421","169","389","21",43.8,"6",12.5,6.5
"Jansen, Danny","643376","48","24.3",33.3,"106.7","88.2","97.9","93.3","84.5","401","199","358","19",39.6,"2",4.2,2.4
"Hernández, Enrique","571771","48","15.5",31.3,"109.8","91.3","100.7","95.2","86.9","412","172","382","18",37.5,"7",14.6,9.3
"Paris, Kyren","677347","47","13",34,"108.7","87.9","102.3","94.8","79.2","434","185","394","25",53.2,"9",19.1,9.4
"Jones, Nolan","666134","47","14.5",36.2,"110.3","95","103.5","97","95.3","410","167","410","27",57.4,"5",10.6,5.6
"O'Neill, Tyler","641933","46","23.5",26.1,"108","88.5","101.6","96","82.1","402","191","387","19",41.3,"8",17.4,10.8
"Murphy, Sean","669221","46","6.8",30.4,"112.5","89.2","102.4","96.6","80.4","429","169","398","19",41.3,"7",15.2,8.4
"Beck, Jordan","687597","46","14.6",47.8,"110.8","91.8","101.9","98.1","83.8","437","187","417","22",47.8,"10",21.7,12.2
"Mitchell, Garrett","669003","45","10.8",28.9,"110.8","90.4","101.7","98","85.6","407","149",,"19",42.2,"3",6.7,3.8
"Gorman, Nolan","669357","45","24.1",37.8,"107.2","87.3","99.3","91.8","73.6","409","226","409","19",42.2,"5",11.1,6.5
"Caballero, José","676609","43","17.9",44.2,"104.5","82.5","92.8","85.7","80","344","173","327","7",16.3,"1",2.3,1.3
"Rodgers, Brendan","663898","41","10.9",41.5,"112.2","90.6","102.3","92.2","90.8","390","176",,"20",48.8,"5",12.2,6.8
"Malloy, Justyn-Henry","669234","40","21.7",32.5,"111.7","87.5","98.1","90.8","80.9","389","193","389","14",35,"3",7.5,3.9
