index,player_id,name,exit_velocity,launch_angle,barrel_pct,hard_hit_pct,xwOBA,xBA,xSLG,superstar_similarity,breakout_score,breakout_index
0,571745,"Haniger, Mitch",36.24,5.48,3.6,18.36,0.1168,0.0864,0.1456,-9.70033116994446,9.146971428571428,3.4927806490166606
1,572138,"Singleton, Jon",35.480000000000004,5.120000000000001,3.5600000000000005,14.880000000000003,0.124,0.0912,0.15280000000000002,-9.778128075712054,8.486857142857145,3.007361577286385
2,595909,"Cave, Jake",35.0,3.0,2.08,14.840000000000002,0.11080000000000001,0.0932,0.1428,-10.176713191287137,7.895257142857143,2.473666042613859
3,605361,"Martini, Nick",51.18,6.8999999999999995,1.08,17.16,0.1548,0.1308,0.1596,-9.26666307763205,10.96645714285714,4.896521076710382
4,609280,"Andujar, Miguel",52.68,6.24,3.0,24.0,0.1944,0.1692,0.2388,-8.082795008089358,12.360342857142857,6.227401497573192
5,641343,"Bauers, Jake",35.760000000000005,9.040000000000001,4.12,17.16,0.1208,0.08040000000000001,0.1516,-9.492831598672462,9.4904,3.7954305203982606
6,643376,"Jansen, Danny",52.92,14.58,2.52,23.76,0.1848,0.11399999999999999,0.19920000000000002,-8.232378085090332,13.468285714285715,6.9580865744729
7,656976,"Smith, Pavin",54.35999999999999,4.919999999999999,10.56,25.86,0.22319999999999998,0.1392,0.2736,-7.199972036759853,13.762285714285714,7.473608388972044
8,663368,"Perkins, Blake",35.52,4.800000000000001,1.56,15.080000000000002,0.11000000000000001,0.0872,0.12440000000000001,-10.214064662937652,8.183085714285715,2.6639406011187043
9,663616,"Larnach, Trevor",90.5,10.0,6.5600000000000005,41.800000000000004,0.32399999999999995,0.253,0.3986,-4.874806253022592,21.405085714285715,13.52111812409322
10,663698,"Bart, Joey",53.04,6.419999999999999,6.119999999999999,22.38,0.20639999999999997,0.1356,0.2352,-7.90023053138469,12.648171428571429,6.483650840584593
11,663968,"Mangum, Jake",52.92,-2.28,1.9799999999999998,24.599999999999998,0.1968,0.16979999999999998,0.24839999999999998,-8.871228492253595,11.119285714285713,5.12213145232392
12,664238,"Moore, Dylan",87.5,19.6,12.400000000000002,41.16,0.3456,0.246,0.43979999999999997,-3.113188867351392,23.09877142857143,15.235183339794581
13,664728,"Isbel, Kyle",85.76,13.08,3.24,29.759999999999998,0.24259999999999998,0.2136,0.306,-6.452557254050989,18.943171428571436,11.324452823784707
14,665804,"Amaya, Miguel",35.36000000000001,4.44,1.8800000000000001,13.56,0.12,0.1004,0.1484,-10.041929437780276,7.944114285714287,2.5483011686659176
15,665828,"Cabrera, Oswaldo",53.34,4.74,0.0,20.88,0.1632,0.1422,0.17339999999999997,-9.23058155771669,11.348400000000002,5.174705532684994
16,665839,"Valdez, Enmanuel",54.059999999999995,9.36,5.1,27.06,0.213,0.1668,0.2736,-7.259405257205945,13.747628571428569,7.445518422838214
17,665966,"Narváez, Carlos",54.0,9.299999999999999,7.619999999999999,22.86,0.17759999999999998,0.132,0.24719999999999998,-7.633894911214141,13.476685714285717,7.143511526635758
18,666018,"Aranda, Jonathan",57.059999999999995,7.56,8.94,37.32,0.255,0.18059999999999998,0.357,-5.962467909424424,15.95322857142857,9.378519627172672
19,666023,"Fermin, Freddy",35.28,4.44,1.2800000000000002,13.56,0.11160000000000002,0.0976,0.13360000000000002,-10.225969189891561,7.843257142857143,2.422489243032532
20,666149,"Fitzgerald, Tyler",85.42000000000002,18.22,6.16,28.0,0.2722,0.21799999999999997,0.3318,-5.602008898024457,19.803142857142856,12.18159733059266
21,666160,"Moniak, Mickey",88.28,16.92,9.0,39.32,0.3124,0.242,0.4252,-4.0425436930935374,22.071371428571428,14.237196892071937
22,666176,"Adell, Jo",89.38,14.28,11.16,43.74,0.3036,0.2348,0.4096,-3.8700435359129433,22.786857142857144,14.789786939226117
23,666181,"Benson, Will",35.760000000000005,7.28,4.6000000000000005,16.040000000000003,0.10720000000000002,0.072,0.1332,-9.781738224368949,9.14177142857143,3.4647185326893153
24,666310,"Naylor, Bo",90.0,21.82,10.26,36.08,0.3002,0.20440000000000003,0.40340000000000004,-4.20951122359676,22.723999999999997,14.643946632920969
25,667472,"Myers, Dane",55.08,5.52,4.8,26.4,0.22619999999999998,0.1998,0.2934,-7.296844235557057,13.217057142857142,7.062886729332883
26,668709,"Bleday, JJ",89.1,19.200000000000003,5.24,39.74,0.3046,0.225,0.3592,-4.971713044859215,22.024114285714283,13.925366086542233
27,668901,"Vientos, Mark",90.48,10.92,9.42,42.64,0.31479999999999997,0.23759999999999998,0.40900000000000003,-4.372975313995513,22.0602,14.130247405801345
28,669003,"Mitchell, Garrett",54.24,6.48,4.02,25.32,0.17579999999999998,0.14159999999999998,0.207,-8.228333091012223,12.94062857142857,6.589940072696333
29,669065,"Stowers, Kyle",54.0,6.180000000000001,11.28,30.0,0.2364,0.18059999999999998,0.3222,-6.3711963975147485,14.599885714285714,8.308561080745573
30,669224,"Wells, Austin",89.66,20.1,11.620000000000001,45.199999999999996,0.3216,0.2306,0.43799999999999994,-3.258535449026436,23.938599999999997,15.779459365292066
31,669234,"Malloy, Justyn-Henry",52.5,13.02,4.5,21.0,0.1998,0.12359999999999999,0.222,-7.929589291131488,13.080771428571426,6.777663212660552
32,669364,"Edwards, Xavier",51.0,6.3,0.0,14.1,0.1668,0.1464,0.17459999999999998,-9.381888659947384,10.269685714285712,4.374213402015783
33,669397,"Allen, Nick",51.3,6.78,0.0,17.7,0.156,0.144,0.17039999999999997,-9.277990711374505,10.892914285714287,4.841642786587649
